"","avg_ndwi_gor_2017","AAC10m","Aspect10m","DEM10m","FlowAcc10m","PlanCurv10m","ProfileCurv10m","Slope10m","TRI10m","TWI10m"
"avg_ndwi_gor_2017",1,-0.0450426840149971,0.266408700416023,-0.160913116552205,0.0246260846931723,-0.0186101820725438,-0.0366121595106768,0.0028997605667071,0.0182655618058241,-0.0272327870170709
"AAC10m",-0.0450426840149971,1,-0.274805150330689,0.86150767822368,-0.183819474773344,0.129293752538671,0.168867630906594,0.545887632181762,0.528960278796572,-0.480835238797392
"Aspect10m",0.266408700416023,-0.274805150330689,1,-0.371289725498287,-0.0672420610301329,0.0825287308391259,0.0440350319655611,-0.166662530666897,-0.179191073196089,-0.0865236037714743
"DEM10m",-0.160913116552205,0.86150767822368,-0.371289725498287,1,-0.139859964121251,0.0297608351392203,0.0872859076350277,0.455103825213931,0.455413245216485,-0.244419476357607
"FlowAcc10m",0.0246260846931723,-0.183819474773344,-0.0672420610301329,-0.139859964121251,1,-0.5428318332434,-0.166768576684164,-0.0939825061814622,-0.0645517159213739,0.500466464081825
"PlanCurv10m",-0.0186101820725438,0.129293752538671,0.0825287308391259,0.0297608351392203,-0.5428318332434,1,0.340191516023925,-0.0633834008252895,-0.114388918852088,-0.561935318962058
"ProfileCurv10m",-0.0366121595106768,0.168867630906594,0.0440350319655611,0.0872859076350277,-0.166768576684164,0.340191516023925,1,0.106917988354788,-0.0220567230344249,-0.274128355378172
"Slope10m",0.0028997605667071,0.545887632181762,-0.166662530666897,0.455103825213931,-0.0939825061814622,-0.0633834008252895,0.106917988354788,1,0.987505641748248,-0.508822317511863
"TRI10m",0.0182655618058241,0.528960278796572,-0.179191073196089,0.455413245216485,-0.0645517159213739,-0.114388918852088,-0.0220567230344249,0.987505641748248,1,-0.461001362285186
"TWI10m",-0.0272327870170709,-0.480835238797392,-0.0865236037714743,-0.244419476357607,0.500466464081825,-0.561935318962058,-0.274128355378172,-0.508822317511863,-0.461001362285186,1
